command : rwfilter --aport=1024-65535 --start-date=2016/02/01 --end-date=2016/02/29  --type=all --pass=stdout | rwstats --top --count=25 --fields=sip --value=bytes>ans3.txt


INPUT: 27488 Records for 184 Bins and 37958530 Total Bytes
OUTPUT: Top 25 Bins by Bytes
            sIP|               Bytes|    %Bytes|   cumul_%|
   172.30.10.11|            11709052| 30.846959| 30.846959|
    192.168.1.1|             8720647| 22.974143| 53.821102|
   172.30.10.10|             2399440|  6.321214| 60.142316|
   172.30.13.66|             1825418|  4.808980| 64.951296|
  172.30.13.110|             1313427|  3.460163| 68.411459|
  172.30.13.147|              823665|  2.169908| 70.581366|
  172.30.13.113|              750963|  1.978377| 72.559743|
   172.30.13.57|              547353|  1.441976| 74.001720|
  172.30.13.123|              547115|  1.441349| 75.443069|
   172.30.13.38|              444046|  1.169819| 76.612888|
  172.30.13.108|              424981|  1.119593| 77.732481|
   172.30.13.58|              417424|  1.099684| 78.832165|
   172.30.13.19|              406106|  1.069868| 79.902033|
  172.30.13.250|              382268|  1.007067| 80.909100|
   172.30.13.94|              378978|  0.998400| 81.907500|
   172.30.13.42|              314862|  0.829489| 82.736990|
  172.30.13.100|              313857|  0.826842| 83.563831|
   172.30.13.65|              301052|  0.793108| 84.356939|
   172.30.13.62|              271625|  0.715584| 85.072523|
   172.30.13.86|              267404|  0.704464| 85.776986|
  172.30.13.126|              265807|  0.700256| 86.477242|
   172.30.13.17|              265033|  0.698217| 87.175460|
   172.30.13.79|              243199|  0.640697| 87.816156|
   172.30.10.12|              233256|  0.614502| 88.430658|
  172.30.13.241|              213455|  0.562337| 88.992996|
