command: rwfilter --aport=1024-65535 --start-date=2016/02/01 --end-date=2016/02/29  --type=all --pass=stdout | rwstats --bottom --count=25 --fields=dip --value=bytes > ans4.txt


INPUT: 27488 Records for 85 Bins and 37958530 Total Bytes
OUTPUT: Bottom 25 Bins by Bytes
            dIP|               Bytes|    %Bytes|   cumul_%|
  172.30.13.139|                  29|  0.000076|  0.000076|
   172.30.13.99|                  29|  0.000076|  0.000153|
    172.30.13.5|                  29|  0.000076|  0.000229|
   172.30.13.85|                  29|  0.000076|  0.000306|
   172.30.13.97|                  29|  0.000076|  0.000382|
   172.30.13.90|                  29|  0.000076|  0.000458|
   172.30.13.83|                  29|  0.000076|  0.000535|
   172.30.13.49|                  52|  0.000137|  0.000672|
   172.30.13.52|                  58|  0.000153|  0.000825|
   172.30.13.55|                  58|  0.000153|  0.000977|
   172.30.13.11|                  58|  0.000153|  0.001130|
  172.30.13.131|                  87|  0.000229|  0.001359|
239.192.152.143|                 147|  0.000387|  0.001747|
   172.30.13.41|                 162|  0.000427|  0.002173|
   172.30.13.95|                 168|  0.000443|  0.002616|
  172.30.13.100|                 205|  0.000540|  0.003156|
   172.30.13.44|                 221|  0.000582|  0.003738|
  172.30.13.116|                 239|  0.000630|  0.004368|
   172.30.13.43|                 245|  0.000645|  0.005013|
  172.30.13.151|                 254|  0.000669|  0.005683|
   172.30.13.36|                 287|  0.000756|  0.006439|
   172.30.13.80|                 291|  0.000767|  0.007205|
   172.30.13.64|                 295|  0.000777|  0.007982|
   172.30.13.12|                 322|  0.000848|  0.008831|
  172.30.13.243|                 343|  0.000904|  0.009734|
