command to create set : rwsetbuild testIpList.txt testiplist.set
command : rwfilter --start-date=2016/02/15 --end-date=2016/02/29 --anyset=testiplist.set --type=all --pass=stdout | rwcut > ans5.txt


            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sen|
   172.30.13.17|    224.0.0.252|63079| 5355| 17|         2|       100|        |2016/02/17T06:50:54.278|    0.100|2016/02/17T06:50:54.378| S0|
   172.30.13.17|    224.0.0.252|61850| 5355| 17|         2|       100|        |2016/02/17T06:51:06.707|    0.100|2016/02/17T06:51:06.807| S0|
   172.30.13.17|    224.0.0.252|57295| 5355| 17|         2|       100|        |2016/02/17T06:51:09.275|    0.100|2016/02/17T06:51:09.375| S0|
   172.30.13.17|    224.0.0.252|53533| 5355| 17|         2|       100|        |2016/02/17T06:51:15.808|    0.109|2016/02/17T06:51:15.917| S0|
   172.30.13.17|    224.0.0.252|49918| 5355| 17|         2|       100|        |2016/02/17T06:51:16.718|    0.104|2016/02/17T06:51:16.822| S0|
   172.30.13.17|    224.0.0.252|56512| 5355| 17|         2|       100|        |2016/02/17T06:51:19.352|    0.106|2016/02/17T06:51:19.458| S0|
   172.30.13.17|    224.0.0.252|61069| 5355| 17|         2|       100|        |2016/02/17T06:51:21.729|    0.102|2016/02/17T06:51:21.831| S0|
   172.30.13.17|    224.0.0.252|52147| 5355| 17|         2|       100|        |2016/02/17T06:51:24.360|    0.107|2016/02/17T06:51:24.467| S0|
   172.30.13.17|    224.0.0.252|57671| 5355| 17|         2|       100|        |2016/02/17T06:51:31.765|    0.097|2016/02/17T06:51:31.862| S0|
   172.30.13.17|    224.0.0.252|62306| 5355| 17|         2|       100|        |2016/02/17T06:51:34.393|    0.106|2016/02/17T06:51:34.499| S0|
   172.30.13.17|    224.0.0.252|65460| 5355| 17|         2|       100|        |2016/02/17T06:51:39.460|    0.109|2016/02/17T06:51:39.569| S0|
   172.30.13.17|    224.0.0.252|55522| 5355| 17|         2|       100|        |2016/02/17T06:51:41.773|    0.104|2016/02/17T06:51:41.877| S0|
   172.30.13.17|    224.0.0.252|54380| 5355| 17|         2|       100|        |2016/02/17T06:51:44.408|    0.105|2016/02/17T06:51:44.513| S0|
   172.30.13.17|    224.0.0.252|53383| 5355| 17|         2|       100|        |2016/02/17T06:51:46.782|    0.102|2016/02/17T06:51:46.884| S0|
   172.30.13.17|    224.0.0.252|64194| 5355| 17|         2|       100|        |2016/02/17T06:51:49.415|    0.106|2016/02/17T06:51:49.521| S0|
   172.30.13.17|    224.0.0.252|63076| 5355| 17|         2|       100|        |2016/02/17T06:51:51.760|    0.101|2016/02/17T06:51:51.861| S0|
   172.30.13.17|    224.0.0.252|51926| 5355| 17|         2|       100|        |2016/02/17T06:51:54.393|    0.105|2016/02/17T06:51:54.498| S0|
